Club,Total Market Value
Chelsea FC,€11.92m
Manchester City,€16.88m
Manchester United,€10.88m
Arsenal FC,€9.41m
Liverpool FC,€8.77m
Tottenham Hotspur,€7.05m
Everton FC,€6.18m
Newcastle United,€4.66m
Southampton FC,€3.76m
Swansea City,€3.58m
Sunderland AFC,€3.13m
Fulham FC,€2.35m
West Ham United,€2.43m
Aston Villa,€3.04m
Stoke City,€3.17m
West Bromwich Albion,€2.75m
Norwich City,€2.79m
Cardiff City,€2.09m
Crystal Palace,€1.53m
Hull City,€2.00m
Man City,1
Liverpool,2
Chelsea,3
Arsenal,4
Everton,5
Tottenham,6
Man Utd,7
Southampton,8
Stoke City,9
Newcastle,10
Crystal Palace,11
Swansea,12
West Ham,13
Sunderland,14
Aston Villa,15
Hull City,16
West Brom,17
Norwich,18
Fulham,19
Cardiff,20
